Title,Description,Status,Priority,Estimate,Labels,Project
"E9-S1 Procure WhatsApp Business number (Twilio preferred, Wati alt)","Sign up with Twilio for the WhatsApp Business API. Use their sandbox phone-number first for demo testing — production number requires Meta business verification (1-2 weeks). Decision: Twilio for setup speed; switch to Wati / Gupshup later only if India-billing or BSP handholding becomes blocking.",Todo,Medium,2,"infra;channels;whatsapp;procurement",WhatsApp Channel
"E9-S2 WhatsApp adapter — webhook + send-message helpers","Add `services/whatsappService.ts` mirroring `services/telegramService.ts` (sendMessage, downloadMedia, secret validation, status callbacks). Add `app/api/webhooks/whatsapp/route.ts` to receive Twilio inbound webhooks. Persist normalised messages into the existing `channel_messages` table with `channel='whatsapp'`.",Backlog,Medium,5,"backend;channels;whatsapp",WhatsApp Channel
"E9-S3 Plug WhatsApp adapter into intakeConversationManager","Reuse the V2 LLM pipeline — it's already channel-agnostic. Conversation history persists in `channel_conversations.metadata_json.history[]` with the same shape as Telegram. Civic-scope filter + multilingual support work without changes.",Backlog,Medium,3,"backend;intake;whatsapp",WhatsApp Channel
"E9-S4 Message template approvals (Meta-mandatory)","Twilio requires Meta-approved templates for any outbound message sent OUTSIDE the 24-hour customer-care window. Submit templates for: ticket-created, ticket-accepted, citizen-contacted, resolved, awaiting-response. Each in English + Telugu. Review cycle is 1-3 days per template.",Backlog,Medium,2,"compliance;whatsapp;templates",WhatsApp Channel
"E9-S5 Initial demo testing on real WhatsApp numbers","Internal team uses the Twilio sandbox / demo number to file test tickets end-to-end. Validate: text intake, voice note attachment, image attachment, multi-turn conversation, civic-scope decline, status check.",Backlog,Medium,2,"qa;whatsapp",WhatsApp Channel
"E9-S6 Production cutover decision","Decide: run WhatsApp + Telegram in parallel forever, or sunset Telegram once WhatsApp is proven? Capture decision in PRD §17. Most likely: parallel — different demographics use different apps.",Backlog,Low,1,"product;decision;whatsapp",WhatsApp Channel
"E10-S1 Product discovery — citizen app MVP scope","What does the citizen app do that Telegram cannot? Photo capture (better than Telegram inline), offline draft (save when no network, sync when back online), push status notifications, map-based location pinning, history of all my tickets. Output: 1-page brief + low-fi wireframes.",Discovery,Low,3,"discovery;product;citizen-app",Citizen App
"E10-S2 Tech-stack decision (React Native / Flutter / PWA)","React Native is the safe bet — shares JS with our Next.js team, mature ecosystem, cross-platform. Flutter is a fresh codebase + Dart skill requirement. PWA avoids app stores but worse on push notifications. Decision lands once discovery output is in hand.",Backlog,Low,2,"discovery;tech-stack;citizen-app",Citizen App
"E10-S3 Citizen auth — phone OTP","Currently citizens have no app-level auth — they're identified by Telegram chat_id. App needs real auth. Clerk supports phone OTP out of the box. Bind the resulting Clerk user to the same `citizens` table row that the Telegram bot would otherwise create.",Backlog,Low,5,"auth;citizen-app",Citizen App
"E10-S4 API surface for citizen actions","New `/api/citizen/*` routes (auth via citizen Clerk JWT, NOT staff): POST file-ticket, POST attach-media, GET status (for one ticket), GET my-tickets (list), GET notifications. Separate from `/api/admin/*` and the worker routes.",Backlog,Low,5,"backend;api;citizen-app",Citizen App
"E10-S5 MVP build — issue reporting + status check","Two screens: New Issue (form + photo + voice + location pin), My Tickets (list with status badges, tap into detail). Polished but minimal — no chat-style follow-ups for V1 (the LLM intake conversation manager stays Telegram/WhatsApp only).",Backlog,Low,13,"frontend;mobile;citizen-app",Citizen App
"E10-S6 App store + Play store submission","Privacy policy, store listing copy, app icon, screenshots, age rating. First-approval reviews are typically 1-2 weeks. Plan for at least one rejection-and-resubmit cycle on each store.",Backlog,Low,5,"ops;app-store;citizen-app",Citizen App
"E10-S7 Initial cohort rollout","Same staged-rollout pattern as the Telegram bot: 50 users → 500 → general availability. Each cohort gets a feedback survey embedded in the app.",Backlog,Low,3,"launch;citizen-app",Citizen App
"E11-S1 Report an issue CTA on the worker dashboard","Floating action button on `/my-assignments`. Tap opens a new-issue modal. Available to ground_worker, district_leader, central_support. Hidden for other roles.",Todo,Medium,1,"frontend;workers",Karyakarta As Reporter
"E11-S2 New-issue form — title / description / location / category / photos","Reuse the existing ticket creation service (`services/ticketService.createTicket`). Distinction: `source_channel = 'worker_report'` on the ticket so reports/triage can filter on it. Photos go through E1's storage pipeline.",Todo,Medium,3,"frontend;backend;tickets",Karyakarta As Reporter
"E11-S3 API: POST /api/tickets/worker-report","Role-gated to ground_worker / district_leader / central_support. Sets `created_by` to the worker. Forces `needs_triage = true` (do NOT auto-assign back to the reporter — conflict of interest). Emits `ticket_created_by_worker` audit row.",Todo,Medium,2,"backend;api;tickets;audit",Karyakarta As Reporter
"E11-S4 Triage queue — worker-reported badge","Small badge in `/triage` so central support can spot worker-sourced reports. These often have higher signal-to-noise than citizen reports (workers are on the ground). Could rank-bump them.",Todo,Medium,1,"frontend;triage",Karyakarta As Reporter
"E11-S5 Audit + access-control — worker can't self-assign their own report","Enforce at the API layer for /api/tickets/assign + /api/tickets/auto-assign — reject if the assignee is the same user who reported. UI: hide the reporter from the assignment dropdown for their own ticket.",Todo,Medium,1,"backend;access-control;security",Karyakarta As Reporter
"E11-S6 Reporting — worker-sourced vs citizen-sourced split","KPI tile on `/reports`: % of tickets sourced from workers vs citizens. Trend over time. Tells leadership how proactive the ground team is.",Backlog,Low,2,"reports;analytics",Karyakarta As Reporter
